Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Toss winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings
Tanzania,Uganda,no result,-,Rwanda,23-Dec-22,T20I # 1983,,,,,,
Rwanda,Uganda,Uganda,3 runs,Rwanda,23-Dec-22,T20I # 1982,Rwanda,Fielding,108,10,105,10
Tanzania,Uganda,Uganda,7 runs,Rwanda,22-Dec-22,T20I # 1979,Uganda,Batting,183,5,176,10
Rwanda,Uganda,Uganda,7 wickets,Rwanda,20-Dec-22,T20I # 1973,Uganda,Fielding,67,10,68,3
Rwanda,Uganda,Uganda,9 wickets,Rwanda,19-Dec-22,T20I # 1971,Uganda,Fielding,57,10,59,1
Tanzania,Uganda,Tanzania,5 wickets,Rwanda,19-Dec-22,T20I # 1970,Uganda,Batting,132,10,137,5
Tanzania,Uganda,Uganda,2 runs,Rwanda,18-Dec-22,T20I # 1966,Uganda,Batting,107,9,105,9
Rwanda,Uganda,Uganda,97 runs,Rwanda,16-Dec-22,T20I # 1962,Rwanda,Fielding,153,7,56,10
Tanzania,Uganda,Uganda,13 runs,Rwanda,15-Dec-22,T20I # 1959,Tanzania,Fielding,169,8,156,9
Rwanda,Uganda,Uganda,133 runs,Rwanda,15-Dec-22,T20I # 1958,Uganda,Batting,168,9,35,10
Tanzania,Uganda,no result,-,Rwanda,14-Dec-22,T20I # 1955,Tanzania,Batting,48,9,-,
Rwanda,Uganda,Uganda,85 runs,Rwanda,14-Dec-22,T20I # 1954,Rwanda,Fielding,185,9,100,10
New Zealand,India,tied,,Napier,22-Nov-22,T20I # 1911,New Zealand,Batting,160,10,75,4
Oman,Canada,Canada,8 wickets,Al Amerat,21-Nov-22,T20I # 1910,Canada,Fielding,137,10,139,2
Oman,Canada,Canada,3 wickets,Al Amerat,20-Nov-22,T20I # 1903,Canada,Fielding,169,7,170,7
New Zealand,India,India,65 runs,Mount Maunganui,20-Nov-22,T20I # 1898,New Zealand,Fielding,191,6,126,10
Bahrain,Canada,Bahrain,8 wickets,Al Amerat,17-Nov-22,T20I # 1891,Baharin,Fielding,160,6,164,2
Oman,Canada,Canada,1 run,Al Amerat,16-Nov-22,T20I # 1885,Oman,Fielding,191,2,190,6
Bahrain,Canada,Canada,4 wickets,Al Amerat,14-Nov-22,T20I # 1881,Canada,Fielding,195,7,199,6
England,Pakistan,England,5 wickets,Melbourne,13-Nov-22,T20I # 1879,England,Fielding,137,8,138,5
England,India,England,10 wickets,Adelaide,10-Nov-22,T20I # 1878,England,Fielding,168,6,170,0
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,09-Nov-22,T20I # 1877,New Zealand,Batting,152,4,153,3
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,06-Nov-22,T20I # 1872,Bangladesh,Batting,127,8,128,5
Netherlands,South Africa,Netherlands,13 runs,Adelaide,06-Nov-22,T20I # 1871,South Africa,Fielding,158,4,145,8
England,Sri Lanka,England,4 wickets,Sydney,05-Nov-22,T20I # 1867,Sri Lanka,Batting,141,8,144,6
Australia,Afghanistan,Australia,4 runs,Adelaide,04-Nov-22,T20I # 1864,Afghanisthan,Fielding,168,8,164,7
Ireland,New Zealand,New Zealand,35 runs,Adelaide,04-Nov-22,T20I # 1862,Ireland,Fielding,185,6,150,9
Pakistan,South Africa,Pakistan,33 runs,Sydney,03-Nov-22,T20I # 1861,Pakisthan,Batting,185,9,108,9
Bangladesh,India,India,5 runs,Adelaide,02-Nov-22,T20I # 1860,Bangladesh,Fielding,184,6,145,6
England,New Zealand,England,20 runs,Brisbane,01-Nov-22,T20I # 1858,England,Batting,179,6,159,6
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,01-Nov-22,T20I # 1856,Afghanisthan,Batting,144,8,148,4
Australia,Ireland,Australia,42 runs,Brisbane,31-Oct-22,T20I # 1855,Ireland,Fielding,179,5,137,10
India,South Africa,South Africa,5 wickets,Perth,30-Oct-22,T20I # 1853,India,Batting,133,9,137,5
Netherlands,Pakistan,Pakistan,6 wickets,Perth,30-Oct-22,T20I # 1852,Netherlands,Batting,91,9,95,4
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,29-Oct-22,T20I # 1850,New Zealand,Batting,167,7,102,10
India,Netherlands,India,56 runs,Sydney,27-Oct-22,T20I # 1848,India,Batting,179,2,123,9
Bangladesh,South Africa,South Africa,104 runs,Sydney,27-Oct-22,T20I # 1847,South Africa,Batting,205,5,101,10
England,Ireland,Ireland,5 runs,Melbourne,26-Oct-22,T20I # 1846,England,Fielding,157,10,105,5
Australia,Sri Lanka,Australia,7 wickets,Perth,25-Oct-22,T20I # 1845,Australia,Fielding,157,6,158,3
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,24-Oct-22,T20I # 1843,Netherlands,Fielding,144,8,135,10
India,Pakistan,India,4 wickets,Melbourne,23-Oct-22,T20I # 1842,India,Fielding,159,8,160,6
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,23-Oct-22,T20I # 1841,Ireland,Batting,128,8,133,1
Afghanistan,England,England,5 wickets,Perth,22-Oct-22,T20I # 1840,England,Fielding,112,10,113,5
Australia,New Zealand,New Zealand,89 runs,Sydney,22-Oct-22,T20I # 1839,Australia,Fielding,200,3,111,10
Ireland,West Indies,Ireland,9 wickets,Hobart,21-Oct-22,T20I # 1837,West indies,Batting,146,5,150,1
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,20-Oct-22,T20I # 1835,Sri Lanka,Batting,162,6,146,9
Ireland,Scotland,Ireland,6 wickets,Hobart,19-Oct-22,T20I # 1833,Scotland,Batting,176,5,180,4
Namibia,Netherlands,Netherlands,5 wickets,Geelong,18-Oct-22,T20I # 1830,Namibia,Batting,121,6,122,5
Scotland,West Indies,Scotland,42 runs,Hobart,17-Oct-22,T20I # 1826,West Indies,Fielding,160,5,118,10
Namibia,Sri Lanka,Namibia,55 runs,Geelong,16-Oct-22,T20I # 1823,Sri Lanka,Fielding,163,7,108,10
Australia,England,no result,-,Canberra,14-Oct-22,T20I # 1820,Australia,Fielding,112,2,30,3
New Zealand,Pakistan,Pakistan,5 wickets,Christchurch,14-Oct-22,T20I # 1819,Pakisthan,Fielding,163,7,168,5
Bangladesh,Pakistan,Pakistan,7 wickets,Christchurch,13-Oct-22,T20I # 1818,Bangladesh,Batting,173,6,177,3
Australia,England,England,8 runs,Canberra,12-Oct-22,T20I # 1817,Australia,Fielding,178,7,170,6
New Zealand,Bangladesh,New Zealand,48 runs,Christchurch,12-Oct-22,T20I # 1816,Bangladesh,Fielding,208,5,160,7
New Zealand,Pakistan,New Zealand,9 wickets,Christchurch,11-Oct-22,T20I # 1815,Pakisthan,Batting,130,7,131,1
Australia,England,England,8 runs,Perth,09-Oct-22,T20I # 1812,Australia,Fielding,208,6,200,9
New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,09-Oct-22,T20I # 1811,New Zealand,Fielding,137,8,142,2
New Zealand,Pakistan,Pakistan,6 wickets,Christchurch,08-Oct-22,T20I # 1809,New Zealand,Batting,147,8,149,4
Australia,West Indies,Australia,31 runs,Brisbane,07-Oct-22,T20I # 1808,West indies,Fielding,178,7,147,8
Bangladesh,Pakistan,Pakistan,21 runs,Christchurch,07-Oct-22,T20I # 1807,Bangladesh,Fielding,167,5,146,8
Australia,West Indies,Australia,3 wickets,Carrara,05-Oct-22,T20I # 1806,Australia,Fielding,145,9,146,7
India,South Africa,South Africa,49 runs,Indore,04-Oct-22,T20I # 1805,India,Fielding,227,3,178,10
Pakistan,England,England,67 runs,Lahore,02-Oct-22,T20I # 1804,Pakisthan,Fielding,209,3,142,8
India,South Africa,India,16 runs,Guwahati,02-Oct-22,T20I # 1803,South Africa,Fielding,237,3,221,3
Pakistan,England,England,8 wickets,Lahore,30-Sep-22,T20I # 1802,England,Fielding,169,6,170,2
Pakistan,England,Pakistan,6 runs,Lahore,28-Sep-22,T20I # 1801,England,Fielding,145,10,139,7
India,South Africa,India,8 wickets,Thiruvananthapuram,28-Sep-22,T20I # 1800,India,Fielding,106,8,110,2
U.A.E.,Bangladesh,Bangladesh,32 runs,Dubai (DICS),27-Sep-22,T20I # 1799,U.A.E,Fielding,169,5,137,5
Pakistan,England,Pakistan,3 runs,Karachi,25-Sep-22,T20I # 1798,England,Fielding,166,4,163,10
U.A.E.,Bangladesh,Bangladesh,7 runs,Dubai (DICS),25-Sep-22,T20I # 1797,U.A.E,Fielding,158,5,151,10
India,Australia,India,6 wickets,Hyderabad,25-Sep-22,T20I # 1796,India,Fielding,186,7,187,4
Pakistan,England,England,63 runs,Karachi,23-Sep-22,T20I # 1795,Pakisthan,Fielding,221,3,158,8
India,Australia,India,6 wickets,Nagpur,23-Sep-22,T20I # 1794,India,Fielding,90,5,92,4
Pakistan,England,Pakistan,10 wickets,Karachi,22-Sep-22,T20I # 1793,England,Batting,199,5,203,0
Tanzania,Uganda,Uganda,8 wickets,Benoni,22-Sep-22,T20I # 1792,Uganda,Fielding,174,5,175,2
Kenya,Uganda,Uganda,3 wickets,Benoni,21-Sep-22,T20I # 1790,Uganda,Fielding,105,8,107,7
Pakistan,England,England,6 wickets,Karachi,20-Sep-22,T20I # 1789,England,Fielding,158,7,160,4
India,Australia,Australia,4 wickets,Mohali,20-Sep-22,T20I # 1788,Australia,Fielding,208,6,211,6
Ghana,Uganda,Uganda,8 wickets,Benoni,20-Sep-22,T20I # 1787,Ghana,Batting,133,9,135,2
Mozambique,Uganda,Uganda,38 runs,Benoni,18-Sep-22,T20I # 1783,Uganda,Batting,162,7,124,9
Botswana,Uganda,Uganda,7 wickets,Benoni,15-Sep-22,T20I # 1776,Uganda,Fielding,103,8,107,3
Pakistan,Sri Lanka,Sri Lanka,23 runs,Dubai (DICS),11-Sep-22,T20I # 1769,Pakisthan,Fielding,170,6,147,10
Pakistan,Sri Lanka,Sri Lanka,5 wickets,Dubai (DICS),09-Sep-22,T20I # 1764,Sri Lanka,Fielding,121,10,124,5
Afghanistan,India,India,101 runs,Dubai (DICS),08-Sep-22,T20I # 1761,Afghanisthan,Fielding,212,2,111,8
Afghanistan,Pakistan,Pakistan,1 wicket,Sharjah,07-Sep-22,T20I # 1760,Pakisthan,Fielding,129,6,131,9
India,Sri Lanka,Sri Lanka,6 wickets,Dubai (DICS),06-Sep-22,T20I # 1759,Sri Lanka,Fielding,173,8,174,4
India,Pakistan,Pakistan,5 wickets,Dubai (DICS),04-Sep-22,T20I # 1758,Pakisthan,Fielding,181,7,182,5
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah,03-Sep-22,T20I # 1757,Sri Lanka,Fielding,175,6,179,6
Hong Kong,Pakistan,Pakistan,155 runs,Sharjah,02-Sep-22,T20I # 1756,Hong Kong,Fielding,193,2,38,10
Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dubai (DICS),01-Sep-22,T20I # 1755,Sri Lanka,Fielding,183,7,184,8
Hong Kong,India,India,40 runs,Dubai (DICS),31-Aug-22,T20I # 1754,Hong Kong,Fielding,192,2,152,5
Afghanistan,Bangladesh,Afghanistan,7 wickets,Sharjah,30-Aug-22,T20I # 1753,Bangladesh,Batting,127,7,131,3
Kenya,Nepal,Nepal,31 runs,Nairobi (Gym),30-Aug-22,T20I # 1752,Nepal,Batting,175,7,144,7
Kenya,Nepal,Kenya,7 runs,Nairobi (Gym),29-Aug-22,T20I # 1751,Kenya,Batting,101,10,94,9
India,Pakistan,India,5 wickets,Dubai (DICS),28-Aug-22,T20I # 1750,India,Fielding,147,10,148,5
Kenya,Nepal,Nepal,4 wickets,Nairobi (Gym),28-Aug-22,T20I # 1749,Kenya,Batting,156,2,160,6
Afghanistan,Sri Lanka,Afghanistan,8 wickets,Dubai (DICS),27-Aug-22,T20I # 1748,Afghanisthan,Fielding,105,10,106,2
Kenya,Nepal,Kenya,18 runs,Nairobi (Gym),26-Aug-22,T20I # 1747,Nepal,Fielding,132,9,114,10
Kenya,Nepal,Nepal,5 wickets,Nairobi (Gym),25-Aug-22,T20I # 1746,Nepal,Fielding,130,8,133,5
Ireland,Afghanistan,Ireland,7 wickets,Belfast,17-Aug-22,T20I # 1738,Ireland,Fielding,95,5,56,3
Ireland,Afghanistan,Afghanistan,27 runs,Belfast,15-Aug-22,T20I # 1736,Ireland,Fielding,132,6,105,10
West Indies,New Zealand,West Indies,8 wickets,Kingston,14-Aug-22,T20I # 1735,New Zealand,Batting,145,7,150,2
West Indies,New Zealand,New Zealand,90 runs,Kingston,12-Aug-22,T20I # 1732,New Zealand,Batting,215,5,125,9
Ireland,Afghanistan,Afghanistan,22 runs,Belfast,12-Aug-22,T20I # 1731,Ireland,Fielding,189,5,167,9
Ireland,Afghanistan,Ireland,5 wickets,Belfast,11-Aug-22,T20I # 1729,Afghanisthan,Batting,122,8,125,5
West Indies,New Zealand,New Zealand,13 runs,Kingston,10-Aug-22,T20I # 1728,West indies,Fielding,185,5,172,7
Ireland,Afghanistan,Ireland,7 wickets,Belfast,09-Aug-22,T20I # 1727,Afghanisthan,Batting,168,7,171,3
India,West Indies,India,88 runs,Lauderhill,07-Aug-22,T20I # 1726,India,Batting,188,7,100,10
India,West Indies,India,59 runs,Lauderhill,06-Aug-22,T20I # 1725,West indies,Fielding,191,5,132,10
Ireland,South Africa,South Africa,44 runs,Bristol,05-Aug-22,T20I # 1724,Ireland,Fielding,182,6,138,10
Netherlands,New Zealand,New Zealand,8 wickets,The Hague,05-Aug-22,T20I # 1723,Netherlands,Batting,147,4,149,2
Netherlands,New Zealand,New Zealand,16 runs,The Hague,04-Aug-22,T20I # 1722,New Zealand,Batting,148,7,132,10
Ireland,South Africa,South Africa,21 runs,Bristol,03-Aug-22,T20I # 1721,South Africa,Batting,211,5,190,9
West Indies,India,India,7 wickets,Basseterre,02-Aug-22,T20I # 1720,India,Fielding,164,5,165,3
Zimbabwe,Bangladesh,Zimbabwe,10 runs,Harare,02-Aug-22,T20I # 1719,Zimbavae,Batting,156,8,146,8
West Indies,India,West Indies,5 wickets,Basseterre,01-Aug-22,T20I # 1718,West indies,Fielding,138,10,141,5
England,South Africa,South Africa,90 runs,Southampton,31-Jul-22,T20I # 1717,England,Fielding,191,5,101,10
Zimbabwe,Bangladesh,Bangladesh,7 wickets,Harare,31-Jul-22,T20I # 1713,Zimbavae,Batting,135,8,136,3
Zimbabwe,Bangladesh,Zimbabwe,17 runs,Harare,30-Jul-22,T20I # 1706,Zimbavae,Batting,205,3,188,6
West Indies,India,India,68 runs,Tarouba,29-Jul-22,T20I # 1702,West indies,Fielding,190,6,122,8
Scotland,New Zealand,New Zealand,102 runs,Edinburgh,29-Jul-22,T20I # 1701,New Zealand,Batting,254,5,152,9
England,South Africa,South Africa,58 runs,Cardiff,28-Jul-22,T20I # 1698,England,Fielding,207,3,149,10
England,South Africa,England,41 runs,Bristol,27-Jul-22,T20I # 1693,South Africa,Fielding,234,6,193,8
Scotland,New Zealand,New Zealand,68 runs,Edinburgh,27-Jul-22,T20I # 1692,Scotland,Fielding,225,5,157,8
Ireland,New Zealand,New Zealand,6 wickets,Belfast,22-Jul-22,T20I # 1679,Ireland,Batting,174,6,180,4
Ireland,New Zealand,New Zealand,88 runs,Belfast,20-Jul-22,T20I # 1678,Ireland,Fielding,179,4,91,10
Ireland,New Zealand,New Zealand,31 runs,Belfast,18-Jul-22,T20I # 1673,Ireland,Fielding,173,8,142,10
P.N.G.,U.S.A.,P.N.G.,5 runs,Bulawayo,17-Jul-22,T20I # 1667,U.S.A,Fielding,97,10,92,10
Zimbabwe,Netherlands,Zimbabwe,37 runs,Bulawayo,17-Jul-22,T20I # 1668,Zimbavae,Batting,132,10,95,10
Hong Kong,Uganda,Uganda,4 runs,Bulawayo,17-Jul-22,T20I # 1665,Hong Kong,Fielding,102,7,98,8
Netherlands,U.S.A.,Netherlands,7 wickets,Bulawayo,15-Jul-22,T20I # 1657,U.S.A,Batting,138,10,139,3
Zimbabwe,P.N.G.,Zimbabwe,27 runs,Bulawayo,15-Jul-22,T20I # 1658,Zimbavae,Batting,199,5,172,8
Jersey,Uganda,Uganda,5 runs,Bulawayo,15-Jul-22,T20I # 1654,Uganda,Batting,110,10,105,9
Zimbabwe,U.S.A.,Zimbabwe,46 runs,Bulawayo,14-Jul-22,T20I # 1652,Zimbavae,Batting,185,6,139,8
Hong Kong,P.N.G.,Hong Kong,2 wickets,Bulawayo,14-Jul-22,T20I # 1649,Hong Kong,Fielding,185,7,186,8
Netherlands,Uganda,Netherlands,97 runs,Bulawayo,14-Jul-22,T20I # 1650,Uganda,Fielding,187,3,90,9
Hong Kong,Netherlands,Netherlands,7 wickets,Bulawayo,12-Jul-22,T20I # 1641,Hong Kong,Batting,116,10,117,3
P.N.G.,Uganda,P.N.G.,8 wickets,Bulawayo,12-Jul-22,T20I # 1642,P.N.G,Fielding,160,4,161,2
Singapore,U.S.A.,U.S.A.,132 runs,Bulawayo,12-Jul-22,T20I # 1637,Singapore,Fielding,201,6,69,10
Hong Kong,Uganda,Uganda,2 wickets,Bulawayo,11-Jul-22,T20I # 1635,Hong Kong,Batting,87,9,88,8
Netherlands,P.N.G.,Netherlands,52 runs,Bulawayo,11-Jul-22,T20I # 1636,Netherlands,Batting,163,7,111,10
Jersey,U.S.A.,U.S.A.,8 wickets,Bulawayo,11-Jul-22,T20I # 1633,U.S.A,Fielding,154,5,159,2
England,India,England,17 runs,Nottingham,10-Jul-22,T20I # 1631,England,Batting,215,7,198,9
England,India,India,49 runs,Birmingham,09-Jul-22,T20I # 1628,England,Fielding,170,8,121,10
West Indies,Bangladesh,West Indies,5 wickets,Providence,07-Jul-22,T20I # 1617,Bangladesh,Batting,163,5,169,5
England,India,India,50 runs,Southampton,07-Jul-22,T20I # 1616,India,Batting,198,8,148,10
West Indies,Bangladesh,West Indies,35 runs,Roseau,03-Jul-22,T20I # 1607,West indies,Batting,193,5,158,6
Singapore,P.N.G.,P.N.G.,3 wickets,Singapore,03-Jul-22,T20I # 1605,Singapore,Batting,203,7,206,7
West Indies,Bangladesh,no result,-,Roseau,02-Jul-22,T20I # 1601,West indies,Fielding,105,8,,
Singapore,P.N.G.,Singapore,18 runs,Singapore,02-Jul-22,T20I # 1599,Singapore,Batting,168,5,150,9
Ireland,India,India,4 runs,Dublin (Malahide),28-Jun-22,T20I # 1586,India,Batting,225,7,221,5
Ireland,India,India,7 wickets,Dublin (Malahide),26-Jun-22,T20I # 1580,India,Fielding,108,4,111,3
India,South Africa,no result,-,Bengaluru,19-Jun-22,T20I # 1575,South Africa,Fielding,28,2,,
India,South Africa,India,82 runs,Rajkot,17-Jun-22,T20I # 1572,South Africa,Fielding,169,6,87,10
India,South Africa,India,48 runs,Visakhapatnam,14-Jun-22,T20I # 1571,South Africa,Fielding,179,5,131,10
Zimbabwe,Afghanistan,Afghanistan,35 runs,Harare,14-Jun-22,T20I # 1570,Afghanisthan,Batting,125,8,90,9
India,South Africa,South Africa,4 wickets,Cuttack,12-Jun-22,T20I # 1569,South Africa,Fielding,148,6,149,6
Zimbabwe,Afghanistan,Afghanistan,21 runs,Harare,12-Jun-22,T20I # 1568,Afghanisthan,,170,5,149,7
Sri Lanka,Australia,Sri Lanka,4 wickets,Pallekele,11-Jun-22,T20I # 1564,Australia,Batting,176,5,177,6
Zimbabwe,Afghanistan,Afghanistan,6 wickets,Harare,11-Jun-22,T20I # 1561,Zimbavae,Batting,159,8,160,4
India,South Africa,South Africa,7 wickets,Delhi,09-Jun-22,T20I # 1554,South Africa,Fielding,211,4,212,3
Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),08-Jun-22,T20I # 1552,Australia,Fielding,124,9,126,7
Sri Lanka,Australia,Australia,10 wickets,Colombo (RPS),07-Jun-22,T20I # 1551,Australia,Fielding,128,10,134,0
Zimbabwe,Namibia,Namibia,32 runs,Bulawayo,24-May-22,T20I # 1547,Zimbavae,Fielding,127,8,95,10
Zimbabwe,Namibia,Namibia,6 wickets,Bulawayo,22-May-22,T20I # 1546,Namibia,Fielding,157,8,161,4
Zimbabwe,Namibia,Zimbabwe,8 wickets,Bulawayo,21-May-22,T20I # 1544,Namibia,Batting,128,8,129,2
Zimbabwe,Namibia,Namibia,8 wickets,Bulawayo,19-May-22,T20I # 1541,Zimbavae,Batting,122,8,124,2
Zimbabwe,Namibia,Zimbabwe,7 runs,Bulawayo,17-May-22,T20I # 1540,Zimbavae,Batting,153,4,146,5
Namibia,Uganda,Namibia,52 runs,Windhoek,10-Apr-22,T20I # 1507,Uganda,Fielding,185,7,133,10
Namibia,Uganda,Uganda,7 wickets,Windhoek,09-Apr-22,T20I # 1506,Uganda,Fielding,177,4,178,3
Namibia,Uganda,Namibia,8 wickets,Windhoek,08-Apr-22,T20I # 1505,Namibia,Fielding,127,5,128,2
Pakistan,Australia,Australia,3 wickets,Lahore,05-Apr-22,T20I # 1504,Australia,Fielding,162,8,163,7
Nepal,P.N.G.,Nepal,50 runs,Kirtipur,04-Apr-22,T20I # 1503,P.N.G,Fielding,168,6,118,10
Malaysia,P.N.G.,P.N.G.,8 wickets,Kirtipur,01-Apr-22,T20I # 1501,P.N.G,Fielding,196,6,199,2
Nepal,P.N.G.,Nepal,37 runs,Kirtipur,31-Mar-22,T20I # 1500,P.N.G,Fielding,203,7,166,10
Malaysia,P.N.G.,Malaysia,8 runs,Kirtipur,29-Mar-22,T20I # 1498,Malaysia,Batting,180,3,172,10
Nepal,P.N.G.,Nepal,15 runs,Kirtipur,28-Mar-22,T20I # 1497,P.N.G,Fielding,183,9,168,10
Bangladesh,Afghanistan,Afghanistan,8 wickets,Mirpur,05-Mar-22,T20I # 1496,Bangladesh,Batting,115,9,121,2
Bangladesh,Afghanistan,Bangladesh,61 runs,Mirpur,03-Mar-22,T20I # 1495,Bangladesh,Batting,155,8,94,10
India,Sri Lanka,India,6 wickets,Dharamsala,27-Feb-22,T20I # 1494,Sri Lanka,Batting,146,5,148,4
India,Sri Lanka,India,7 wickets,Dharamsala,26-Feb-22,T20I # 1493,India,Fielding,183,5,186,3
India,Sri Lanka,India,62 runs,Lucknow,24-Feb-22,T20I # 1492,Sri Lanka,Fielding,199,2,137,6
Oman,Nepal,Nepal,9 wickets,Al Amerat,24-Feb-22,T20I # 1491,Oman,Batting,87,9,90,1
Bahrain,Canada,Canada,7 wickets,Al Amerat,24-Feb-22,T20I # 1488,Baharin,Batting,131,8,132,3
Oman,Ireland,Ireland,56 runs,Al Amerat,22-Feb-22,T20I # 1487,Oman,Fielding,165,7,109,10
Canada,Nepal,Nepal,8 wickets,Al Amerat,21-Feb-22,T20I # 1482,Canada,Batting,80,10,81,2
Germany,Ireland,Ireland,7 wickets,Al Amerat,21-Feb-22,T20I # 1481,Ireland,Fielding,107,7,111,3
India,West Indies,India,17 runs,Eden Gardens,20-Feb-22,T20I # 1479,West indies,Fielding,184,5,167,9
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,20-Feb-22,T20I # 1478,Australia,Batting,154,6,155,5
Bahrain,Ireland,Ireland,21 runs,Al Amerat,19-Feb-22,T20I # 1476,Ireland,Batting,158,5,137,5
Oman,Canada,Oman,9 wickets,Al Amerat,19-Feb-22,T20I # 1475,Oman,Fielding,155,6,159,1
India,West Indies,India,8 runs,Eden Gardens,18-Feb-22,T20I # 1473,West indies,Fielding,186,5,178,3
Australia,Sri Lanka,Australia,6 wickets,Melbourne,18-Feb-22,T20I # 1470,Australia,Fielding,139,8,143,4
Oman,Nepal,Nepal,39 runs,Al Amerat,18-Feb-22,T20I # 1469,Oman,Fielding,117,8,78,10
India,West Indies,India,6 wickets,Eden Gardens,16-Feb-22,T20I # 1467,India,Fielding,157,7,162,4
Australia,Sri Lanka,Australia,6 wickets,Canberra,15-Feb-22,T20I # 1466,Australia,Fielding,121,6,14,4
Ireland,Nepal,Ireland,16 runs,Al Amerat,14-Feb-22,T20I # 1465,Nepal,Fielding,127,10,111,9
Australia,Sri Lanka,tied,-,Sydney,13-Feb-22,T20I # 1463,Sri Lanka,Fielding,164,6,164,8
Oman,Ireland,Ireland,9 wickets,Al Amerat,12-Feb-22,T20I # 1461,Ireland,Fielding,137,10,140,1
Oman,Nepal,Nepal,6 wickets,Al Amerat,11-Feb-22,T20I # 1459,Nepal,Fielding,135,6,137,4
Australia,Sri Lanka,Australia,20 runs,Sydney,11-Feb-22,T20I # 1458,Sri Lanka,Fielding,149,9,122,8
West Indies,England,West Indies,17 runs,Bridgetown,30-Jan-22,T20I # 1457,West indies,Batting,179,4,162,10
West Indies,England,England,34 runs,Bridgetown,29-Jan-22,T20I # 1456,West indies,Fielding,193,6,159,5
West Indies,England,West Indies,20 runs,Bridgetown,26-Jan-22,T20I # 1455,England,Fielding,224,5,204,9
West Indies,England,England,1 run,Bridgetown,23-Jan-22,T20I # 1454,West indies,Fielding,171,8,170,8
West Indies,England,West Indies,9 wickets,Bridgetown,22-Jan-22,T20I # 1453,West indies,Fielding,103,10,104,1
